Country,Date,No. of confirmed cases,No. of confirmed deaths,Male Cases,Female Cases,Boys,Girls,Adult Male,Adult Female,Old Male,Old Female
Guinea,29/08/2014,482,287,289.2,192.8,86.76,57.84,173.52,115.68,28.92,19.28
Nigeria,29/08/2014,15,6,9,6,2.7,1.8,5.4,3.6,0.9,0.6
Sierra Leone,29/08/2014,935,380,561,374,168.3,112.2,336.6,224.4,56.1,37.4
Liberia,29/08/2014,322,225,193.2,128.8,57.96,38.64,115.92,77.28,19.32,12.88
Guinea,05/09/2014,604,362,362.4,241.6,108.72,72.48,217.44,144.96,36.24,24.16
Liberia,05/09/2014,614,431,368.4,245.6,110.52,73.68,221.04,147.36,36.84,24.56
Nigeria,05/09/2014,18,7,10.8,7.2,3.24,2.16,6.48,4.32,1.08,0.72
Senegal,05/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,05/09/2014,1146,443,687.6,458.4,206.28,137.52,412.56,275.04,68.76,45.84
Nigeria,08/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,08/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,08/09/2014,634,508,380.4,253.6,114.12,76.08,228.24,152.16,38.04,25.36
Guinea,08/09/2014,664,400,398.4,265.6,119.52,79.68,239.04,159.36,39.84,26.56
Sierra Leone,08/09/2014,1234,461,740.4,493.6,222.12,148.08,444.24,296.16,74.04,49.36
Nigeria,12/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,12/09/2014,678,403,406.8,271.2,122.04,81.36,244.08,162.72,40.68,27.12
Sierra Leone,12/09/2014,1287,478,772.2,514.8,231.66,154.44,463.32,308.88,77.22,51.48
Senegal,12/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,12/09/2014,654,498,392.4,261.6,117.72,78.48,235.44,156.96,39.24,26.16
Nigeria,16/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,16/09/2014,1464,514,878.4,585.6,263.52,175.68,527.04,351.36,87.84,58.56
Senegal,16/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,16/09/2014,743,429,445.8,297.2,133.74,89.16,267.48,178.32,44.58,29.72
Liberia,16/09/2014,790,563,474,316,142.2,94.8,284.4,189.6,47.4,31.6
Senegal,18/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,18/09/2014,1513,517,907.8,605.2,272.34,181.56,544.68,363.12,90.78,60.52
Liberia,18/09/2014,812,631,487.2,324.8,146.16,97.44,292.32,194.88,48.72,32.48
Guinea,18/09/2014,750,435,450,300,135,90,270,180,45,30
Nigeria,18/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,22/09/2014,818,465,490.8,327.2,147.24,98.16,294.48,196.32,49.08,32.72
Liberia,22/09/2014,863,670,517.8,345.2,155.34,103.56,310.68,207.12,51.78,34.52
Nigeria,22/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
