Country,Date,No. of confirmed cases,No. of confirmed deaths
Guinea,29/08/2014,482,287
Nigeria,29/08/2014,15,6
Sierra Leone,29/08/2014,935,380
Liberia,29/08/2014,322,225
Guinea,05/09/2014,604,362
Liberia,05/09/2014,614,431
Nigeria,05/09/2014,18,7
Senegal,05/09/2014,1,0
Sierra Leone,05/09/2014,1146,443
Nigeria,08/09/2014,19,7
Senegal,08/09/2014,1,0
Liberia,08/09/2014,634,508
Guinea,08/09/2014,664,400
Sierra Leone,08/09/2014,1234,461
Nigeria,12/09/2014,19,7
Guinea,12/09/2014,678,403
Sierra Leone,12/09/2014,1287,478
Senegal,12/09/2014,1,0
Liberia,12/09/2014,654,498
Nigeria,16/09/2014,19,7
Sierra Leone,16/09/2014,1464,514
Senegal,16/09/2014,1,0
Guinea,16/09/2014,743,429
Liberia,16/09/2014,790,563
Senegal,18/09/2014,1,0
Sierra Leone,18/09/2014,1513,517
Liberia,18/09/2014,812,631
Guinea,18/09/2014,750,435
Nigeria,18/09/2014,19,7
Guinea,22/09/2014,818,465
Liberia,22/09/2014,863,670
Nigeria,22/09/2014,19,7
Senegal,22/09/2014,1,0
Sierra Leone,22/09/2014,1640,545
Liberia,24/09/2014,890,671
Senegal,24/09/2014,1,0
Nigeria,24/09/2014,19,7
Guinea,24/09/2014,832,468
Sierra Leone,24/09/2014,1745,552
Guinea,26/09/2014,876,481
Sierra Leone,26/09/2014,1816,557
Senegal,26/09/2014,1,0
Nigeria,26/09/2014,19,7
Liberia,26/09/2014,914,792
Sierra Leone,01/10/2014,2076,574
Liberia,01/10/2014,927,890
Guinea,01/10/2014,950,535
Senegal,01/10/2014,1,0
Nigeria,01/10/2014,19,7
United States of America,03/10/2014,1,0
Guinea,03/10/2014,977,562
Liberia,03/10/2014,931,934
Nigeria,03/10/2014,19,7
Senegal,03/10/2014,1,0
Sierra Leone,03/10/2014,2179,575
Nigeria,08/10/2014,19,7
United States of America,08/10/2014,1,0
Sierra Leone,08/10/2014,2455,725
Guinea,08/10/2014,1044,587
Senegal,08/10/2014,1,0
Liberia,08/10/2014,941,1018
Senegal,10/10/2014,1,0
Guinea,10/10/2014,1097,598
Nigeria,10/10/2014,19,7
Spain,10/10/2014,1,0
United States of America,10/10/2014,1,0
Sierra Leone,10/10/2014,2593,753
Liberia,10/10/2014,943,1072
Senegal,15/10/2014,1,0
Nigeria,15/10/2014,19,7
Liberia,15/10/2014,950,
United States of America,15/10/2014,2,1
Sierra Leone,15/10/2014,2849,926
Guinea,15/10/2014,1184,653
Spain,15/10/2014,1,0
United States of America,17/10/2014,3,1
Spain,17/10/2014,1,0
Sierra Leone,17/10/2014,2977,932
Guinea,17/10/2014,1217,671
Nigeria,17/10/2014,19,7
Senegal,17/10/2014,1,0
Senegal,22/10/2014,1,0
Liberia,22/10/2014,965,1241
Spain,22/10/2014,1,0
United States of America,22/10/2014,3,1
Nigeria,22/10/2014,19,7
Sierra Leone,22/10/2014,3223,986
Guinea,22/10/2014,1289,710
Guinea,25/10/2014,1312,732
United States of America,25/10/2014,4,1
Nigeria,25/10/2014,19,7
Sierra Leone,25/10/2014,3389,1008
Spain,25/10/2014,1,0
Senegal,25/10/2014,1,0
Mali,25/10/2014,1,1
Liberia,25/10/2014,965,1241
Spain,29/10/2014,1,0
United States of America,29/10/2014,4,1
Guinea,29/10/2014,1391,
Senegal,29/10/2014,1,0
Mali,29/10/2014,1,1
Nigeria,29/10/2014,19,7
Sierra Leone,29/10/2014,3700,
Liberia,29/10/2014,2515,
Liberia,31/10/2014,2515,
Mali,31/10/2014,1,1
Senegal,31/10/2014,1,0
Guinea,31/10/2014,1409,
Spain,31/10/2014,1,0
Sierra Leone,31/10/2014,3778,
United States of America,31/10/2014,4,1
Nigeria,31/10/2014,19,7
Nigeria,05/11/2014,19,7
Liberia,05/11/2014,2451,
Sierra Leone,05/11/2014,4057,893
Spain,05/11/2014,1,0
Mali,05/11/2014,1,1
United States of America,05/11/2014,4,1
Guinea,05/11/2014,1457,837
Senegal,05/11/2014,1,0
United States of America,07/11/2014,4,1
Guinea,07/11/2014,1479,850
